Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Szymon  Żywko ,RUNNING,01/19/2020,10:36:35,01:26:10,20.03,142,13.9,18.9,04:19,03:10,980,38,83,,92,160,226,248,,,Easy long run.,179.0,62.0,205,65,71,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,97,2.3,26:05,0,15,,0.60,25.4,,
,00:00:01,97,2.3,26:05,0,15,,0.60,25.4,,
,00:00:02,97,1.8,33:20,0,15,,0.60,25.4,,
,00:00:03,99,1.6,37:30,0,15,,0.90,25.4,,
,00:00:04,99,2.3,26:05,64,15,,1.70,25.4,,
,00:00:05,100,3.2,18:45,75,17,,3.40,25.3,,
,00:00:06,101,4.3,13:57,80,17,,5.70,25.3,,
,00:00:07,103,5.3,11:19,83,17,,7.90,25.3,,
,00:00:08,104,6.0,10:00,83,17,,10.60,25.3,,
,00:00:09,105,6.5,09:14,83,17,,13.40,25.3,,
,00:00:10,107,7.3,08:13,83,17,,16.80,25.2,,
,00:00:11,108,8.0,07:30,84,16,,21.00,25.2,,
,00:00:12,109,8.7,06:54,84,16,,25.60,25.1,,
,00:00:13,110,9.4,06:23,84,16,,30.00,25.1,,
,00:00:14,111,10.1,05:56,84,16,,34.30,25.1,,
,00:00:15,112,10.2,05:53,84,16,,38.00,25.0,,
,00:00:16,112,10.4,05:46,84,16,,42.40,25.0,,
,00:00:17,113,10.8,05:33,84,16,,46.30,25.0,,
,00:00:18,112,11.3,05:19,84,16,,50.80,25.0,,
,00:00:19,113,11.7,05:08,84,16,,55.60,24.9,,
,00:00:20,113,12.4,04:50,85,16,,60.10,24.9,,
,00:00:21,113,13.0,04:37,85,16,,64.30,24.9,,
,00:00:22,113,13.2,04:33,85,16,,69.10,24.8,,
,00:00:23,113,13.4,04:29,85,16,,73.60,24.8,,
,00:00:24,114,13.2,04:33,85,15,,77.90,24.8,,
,00:00:25,114,12.8,04:41,85,15,,82.00,24.7,,
,00:00:26,114,12.3,04:53,84,15,,86.50,24.7,,
,00:00:27,114,12.3,04:53,84,15,,90.10,24.7,,
,00:00:28,114,12.2,04:55,84,15,,93.50,24.6,,
,00:00:29,114,12.2,04:55,78,15,,96.90,24.6,,
,00:00:30,115,12.3,04:53,75,15,,100.40,24.6,,
,00:00:31,115,12.3,04:53,78,15,,103.80,24.5,,
,00:00:32,116,12.4,04:50,78,15,,107.40,24.5,,
,00:00:33,116,12.5,04:48,82,15,,111.20,24.5,,
,00:00:34,117,12.6,04:46,83,15,,114.90,24.5,,
,00:00:35,117,12.7,04:43,83,15,,118.60,24.4,,
,00:00:36,118,12.7,04:43,83,15,,122.70,24.4,,
,00:00:37,118,12.7,04:43,83,15,,126.70,24.4,,
,00:00:38,118,12.8,04:41,83,15,,130.50,24.3,,
,00:00:39,118,12.8,04:41,83,15,,134.40,24.3,,
,00:00:40,119,12.8,04:41,83,15,,138.10,24.3,,
,00:00:41,119,12.8,04:41,83,15,,141.50,24.2,,
,00:00:42,120,12.7,04:43,83,15,,144.80,24.2,,
,00:00:43,120,12.7,04:43,83,15,,147.90,24.2,,
,00:00:44,120,12.5,04:48,84,14,,151.20,24.1,,
,00:00:45,120,12.3,04:53,85,14,,154.20,24.1,,
,00:00:46,120,12.1,04:58,85,14,,157.10,24.1,,
,00:00:47,120,11.8,05:05,85,14,,159.80,24.1,,
,00:00:48,121,11.1,05:24,85,14,,162.40,24.0,,
,00:00:49,121,10.6,05:40,85,14,,164.40,24.0,,
,00:00:50,122,10.2,05:53,85,13,,166.50,24.0,,
,00:00:51,123,10.1,05:56,85,13,,168.40,24.0,,
,00:00:52,124,10.2,05:53,85,13,,170.60,23.9,,
,00:00:53,124,10.4,05:46,85,13,,173.00,23.9,,
,00:00:54,124,10.7,05:36,85,13,,175.80,23.9,,
,00:00:55,125,10.9,05:30,87,12,,178.80,23.9,,
,00:00:56,125,11.1,05:24,87,12,,181.80,23.8,,
,00:00:57,126,11.2,05:21,87,12,,185.50,23.8,,
,00:00:58,126,11.3,05:19,87,12,,189.50,23.8,,
,00:00:59,126,11.3,05:19,87,12,,193.30,23.8,,
,00:01:00,127,11.3,05:19,87,11,,196.80,23.8,,
,00:01:01,127,11.3,05:19,86,11,,200.10,23.7,,
,00:01:02,127,11.3,05:19,86,11,,203.30,23.7,,
,00:01:03,128,11.4,05:16,86,11,,206.40,23.7,,
,00:01:04,128,11.4,05:16,88,11,,209.50,23.7,,
,00:01:05,128,11.4,05:16,90,10,,212.70,23.7,,
,00:01:06,129,11.4,05:16,90,10,,215.70,23.6,,
